experiment,settings,duration mean,duration min,duration 75%,duration median,duration 25%,duration max,duration std,duration variance,duration count,interval mean,interval min,interval 75%,interval median,interval 25%,interval max,interval std,interval variance,interval count
20170225-NO-3400,250-500 5 peaks (4 and 3),34.5206529578355,10.0,39.16666667,27.70833333,20.41666667,250.2083333,24.903182498154074,620.1684985363675,462,1884.6375632928416,10.20833333,1325.0,296.6666667,70.20833333,34946.45833,4302.114289602465,18508187.360801723,461
20170225-NO-3400,250-500 6 peaks (4 and 3),37.74107949368564,10.625,42.91666667,30.83333333,22.29166667,250.2083333,26.674218922551884,711.5139551282249,369,2366.413043486386,10.20833333,1628.59375,404.6875,82.9166666675,37231.45833,4993.883171950301,24938869.135088403,368
20170227-NO-3400-2,80-250 4 peaks (3 and 2),43.686305732356686,11.45833333,54.2187500025,36.979166665,25.625,249.375,26.12817544509881,682.6815520898646,628,906.6191520172727,10.0,415.9375,90.625,38.4375,26978.125,2708.638924628712,7336724.824013786,627
20170227-NO-3400-2,80-250 5 peaks (3 and 2),49.01871980654244,12.91666667,58.85416667,43.125,30.3125,249.375,27.132568952183384,736.1762979449858,483,1187.1559474084024,10.0,663.593749975,103.125,43.177083332500004,26978.125,3202.9419950458705,10258837.423628422,482
20170227-NO-3400-2,80-250 6 peaks (3 and 2),54.220238094909085,13.54166667,63.54166667,49.375,35.41666667,249.375,27.68001462453787,766.1832096146302,385,1445.4844834940623,10.0,791.093749975,121.5625,44.583333335,47908.75,4108.683930582688,16881283.641428407,384
20170227-NO-3400-2,80-250 4 peaks (4 and 3),37.813796679999996,10.41666667,47.91666667,33.75,24.375,153.125,19.509422117800337,380.617551370517,241,2363.5052082595835,10.83333333,1405.9375,247.29166665,62.760416667499996,43087.70833,5814.264999897949,33805677.48903829,240
20170227-NO-3400-2,80-250 5 peaks (4 and 3),44.7682291660625,15.41666667,53.33333333,40.3125,32.29166667,153.125,19.47489073209294,379.2713690269596,160,3566.4203353581756,10.83333333,3202.5,578.5416667,71.5625,48522.29167,7379.184514202989,54452364.094653204,159
20170227-NO-3400-2,80-250 6 peaks (4 and 3),49.00502873465517,22.29166667,56.927083332500004,45.208333335,34.375,153.125,20.450177864526083,418.20977469075257,116,4888.893115813478,10.83333333,4698.229166499999,802.7083333,96.875,59150.20833,9643.087710686694,92989140.59599674,115
20170227-NO-3400-2,250-500 4 peaks (3 and 2),36.38943248563601,10.0,44.79166667,27.91666667,18.54166667,262.5,28.498076885139444,812.1403861513191,1022,547.501020235044,10.0,279.5833333,82.29166667,31.66666667,27492.08333,1791.5012494229888,3209476.72668413,1021
20170227-NO-3400-2,250-500 5 peaks (3 and 2),38.762495456532164,10.0,47.29166667,30.0,20.83333333,262.5,29.098520657571306,846.723904459104,917,612.0560407498144,10.0,355.052083325,87.70833333,33.2812499975,27492.08333,1915.8617910731375,3670526.40249397,916
